idx,pred,true
862,0.49395937,0.6097561
883,0.6218884,0.6081505
887,0.61299354,0.6077348
888,0.5685898,0.60750854
899,0.6673584,0.6069519
901,0.63138115,0.6067316
905,0.47778407,0.60655737
906,0.5930557,0.6065217
908,0.6241462,0.60634923
910,0.6191453,0.60610265
911,0.534773,0.6060606
912,0.6451007,0.6060606
917,0.54907763,0.6057692
922,0.4677491,0.6052632
924,0.5487175,0.6047904
940,0.53478277,0.6037736
943,0.6107919,0.60350317
970,0.6293186,0.60144925
985,0.5427538,0.6002066
991,0.45269376,0.6
996,0.4729786,0.6
998,0.6921356,0.6
1003,0.5820304,0.6
1006,0.6883099,0.6
1029,0.602988,0.59821427
1030,0.573015,0.59812206
1031,0.48170733,0.5980861
1035,0.48443437,0.59770113
1037,0.54367435,0.5975976
1041,0.55018526,0.5972222
1044,0.48995632,0.5971223
1051,0.5120881,0.5967742
1055,0.59060526,0.5964392
1058,0.5127019,0.59615386
1059,0.54427147,0.59615386
1065,0.62294126,0.59574467
1068,0.52409226,0.5955056
1077,0.61222196,0.59504133
1086,0.6109842,0.5944056
1087,0.6434244,0.5943503
1088,0.6578064,0.5943396
1090,0.62837946,0.5940594
1095,0.63985527,0.59385115
1098,0.5434407,0.59375
1102,0.57260466,0.5933555
1104,0.48137486,0.59322035
1106,0.5697527,0.59322035
1108,0.48147282,0.59322035
1113,0.59219563,0.5930736
1120,0.6267304,0.59255725
1126,0.5587435,0.59210527
1138,0.6172346,0.59099805
1142,0.5834565,0.59090906
1147,0.6208973,0.59090906
1152,0.6614686,0.59056735
1169,0.57481956,0.58969754
1170,0.519421,0.58947366
1173,0.50423574,0.58928573
1174,0.5571352,0.58928573
1180,0.5284858,0.5890411
1184,0.4685668,0.58878505
1189,0.5786017,0.5885168
1192,0.5863203,0.5882353
1198,0.4186253,0.5882353
1199,0.550285,0.5882353
1203,0.5353247,0.5882353
1207,0.585781,0.58773583
1209,0.5524142,0.58762884
1218,0.6148415,0.5868613
1219,0.5777453,0.58685446
1220,0.5801326,0.58677685
1223,0.4883079,0.58653843
1225,0.4790717,0.58653843
1229,0.54512155,0.5862069
1231,0.5780183,0.5862069
1236,0.54624903,0.5862069
1244,0.63672566,0.58549225
1253,0.555341,0.585034
1254,0.61101186,0.58498895
1258,0.54087186,0.5848214
1259,0.50941926,0.58474576
1271,0.43809372,0.58381504
1274,0.48054478,0.5834768
1275,0.6370157,0.5833333
1276,0.54561377,0.5833333
1280,0.5551154,0.5833333
1285,0.52793133,0.5833333
1287,0.5326586,0.5833333
1290,0.5780091,0.5833333
1293,0.5752605,0.5831063
1294,0.5558995,0.58309454
1296,0.5894755,0.5828877
1299,0.59543645,0.5825472
1305,0.57871735,0.5822785
1307,0.5013981,0.58196723
1310,0.5691502,0.58181816
1311,0.63657033,0.5815047
1312,0.62045634,0.5814394
1318,0.51384974,0.5810811
