idx,pred,true,pred_bin_05,pred_bin_best,best_threshold
704,0.003479252,0.0,0,0,0.34254003
709,0.00011817788,0.0,0,0,0.34254003
710,0.004179957,0.0,0,0,0.34254003
712,0.47681612,0.0,0,1,0.34254003
714,9.594739e-05,0.0,0,0,0.34254003
715,0.16961984,0.0,0,0,0.34254003
716,0.0034771385,0.0,0,0,0.34254003
726,0.013565793,0.0,0,0,0.34254003
729,0.00899248,0.0,0,0,0.34254003
737,6.960557e-07,0.0,0,0,0.34254003
744,0.00048159758,0.0,0,0,0.34254003
745,0.0037568556,0.0,0,0,0.34254003
747,5.9793252e-05,0.0,0,0,0.34254003
750,0.0010566163,0.0,0,0,0.34254003
754,0.00039703556,0.0,0,0,0.34254003
756,0.00044136,0.0,0,0,0.34254003
759,0.002252965,0.0,0,0,0.34254003
760,0.0026987817,0.0,0,0,0.34254003
763,0.040121906,0.0,0,0,0.34254003
766,0.5004009,1.0,1,1,0.34254003
775,0.045688022,0.0,0,0,0.34254003
779,0.0092011895,0.0,0,0,0.34254003
788,0.64392567,1.0,1,1,0.34254003
791,0.4164695,1.0,0,1,0.34254003
797,0.006463263,0.0,0,0,0.34254003
801,0.8578928,1.0,1,1,0.34254003
802,0.85889804,1.0,1,1,0.34254003
805,0.07289976,0.0,0,0,0.34254003
811,0.83078283,1.0,1,1,0.34254003
817,0.627201,0.0,1,1,0.34254003
826,0.012404534,0.0,0,0,0.34254003
829,0.01675247,0.0,0,0,0.34254003
830,0.30188984,0.0,0,0,0.34254003
832,0.12531446,0.0,0,0,0.34254003
835,0.9799386,1.0,1,1,0.34254003
841,0.001388965,0.0,0,0,0.34254003
843,0.00082026504,0.0,0,0,0.34254003
845,0.11374054,1.0,0,0,0.34254003
846,0.0028965205,0.0,0,0,0.34254003
851,9.2054615e-05,0.0,0,0,0.34254003
853,0.00013562046,0.0,0,0,0.34254003
855,0.023478488,0.0,0,0,0.34254003
859,0.018974619,0.0,0,0,0.34254003
861,7.355373e-05,0.0,0,0,0.34254003
862,0.00023133302,0.0,0,0,0.34254003
883,0.00013444963,0.0,0,0,0.34254003
887,0.7935968,1.0,1,1,0.34254003
888,0.00017661677,0.0,0,0,0.34254003
899,0.009010336,0.0,0,0,0.34254003
901,0.0013225753,0.0,0,0,0.34254003
905,0.004526973,0.0,0,0,0.34254003
906,0.0014659006,0.0,0,0,0.34254003
908,0.0039729793,0.0,0,0,0.34254003
910,3.6820944e-05,0.0,0,0,0.34254003
911,8.734351e-05,0.0,0,0,0.34254003
912,0.6744839,1.0,1,1,0.34254003
917,0.001409563,0.0,0,0,0.34254003
922,0.0024380276,0.0,0,0,0.34254003
924,0.0024167888,0.0,0,0,0.34254003
940,9.237646e-05,0.0,0,0,0.34254003
943,0.18509462,0.0,0,0,0.34254003
970,0.0025767023,0.0,0,0,0.34254003
985,0.0018357569,0.0,0,0,0.34254003
991,8.588599e-05,0.0,0,0,0.34254003
996,0.059063286,0.0,0,0,0.34254003
998,0.034049936,0.0,0,0,0.34254003
1003,0.1683413,0.0,0,0,0.34254003
1006,0.0020639119,0.0,0,0,0.34254003
1029,0.003108995,0.0,0,0,0.34254003
1030,0.010631324,0.0,0,0,0.34254003
1031,0.2712768,1.0,0,0,0.34254003
1035,0.0007825565,0.0,0,0,0.34254003
1037,0.014189958,0.0,0,0,0.34254003
1041,0.010890944,0.0,0,0,0.34254003
1044,0.044155598,0.0,0,0,0.34254003
1051,0.5309609,0.0,1,1,0.34254003
1055,0.00026267447,0.0,0,0,0.34254003
